Journal_Title,Pub_Year,File_Name
The Astronomical Journal,1998,4
The Astronomical Journal,1999,1
The Astronomical Journal,2000,1
The Astronomical Journal,2001,3
The Astronomical Journal,2002,4
The Astronomical Journal,2003,2
The Astronomical Journal,2004,4
The Astronomical Journal,2005,3
The Astronomical Journal,2006,8
The Astronomical Journal,2007,9
The Astronomical Journal,2008,3
The Astronomical Journal,2009,6
The Astronomical Journal,2010,22
The Astronomical Journal,2011,10
The Astronomical Journal,2012,11
The Astronomical Journal,2013,10
The Astronomical Journal,2014,9
The Astronomical Journal,2015,12
The Astronomical Journal,2016,23
The Astronomical Journal,2017,46
The Astronomical Journal,2018,23
The Astrophysical Journal,1997,1
The Astrophysical Journal,2001,1
The Astrophysical Journal,2002,4
The Astrophysical Journal,2003,5
The Astrophysical Journal,2004,7
The Astrophysical Journal,2005,12
The Astrophysical Journal,2006,20
The Astrophysical Journal,2007,34
The Astrophysical Journal,2008,22
The Astrophysical Journal,2009,52
The Astrophysical Journal,2010,44
The Astrophysical Journal,2011,39
The Astrophysical Journal,2012,67
The Astrophysical Journal,2013,55
The Astrophysical Journal,2014,73
The Astrophysical Journal,2015,116
The Astrophysical Journal,2016,140
The Astrophysical Journal,2017,191
The Astrophysical Journal,2018,96
The Astrophysical Journal Letters,2000,1
The Astrophysical Journal Letters,2004,1
The Astrophysical Journal Letters,2005,1
The Astrophysical Journal Letters,2006,2
The Astrophysical Journal Letters,2007,4
The Astrophysical Journal Letters,2008,4
The Astrophysical Journal Letters,2010,3
The Astrophysical Journal Letters,2011,5
The Astrophysical Journal Letters,2012,9
The Astrophysical Journal Letters,2013,5
The Astrophysical Journal Letters,2014,12
The Astrophysical Journal Letters,2015,14
The Astrophysical Journal Letters,2016,22
The Astrophysical Journal Letters,2017,32
The Astrophysical Journal Letters,2018,13
The Astrophysical Journal Supplement Series,1999,1
The Astrophysical Journal Supplement Series,2004,4
The Astrophysical Journal Supplement Series,2005,2
The Astrophysical Journal Supplement Series,2006,1
The Astrophysical Journal Supplement Series,2007,2
The Astrophysical Journal Supplement Series,2008,7
The Astrophysical Journal Supplement Series,2009,5
The Astrophysical Journal Supplement Series,2010,7
The Astrophysical Journal Supplement Series,2011,18
The Astrophysical Journal Supplement Series,2012,7
The Astrophysical Journal Supplement Series,2013,12
The Astrophysical Journal Supplement Series,2014,9
The Astrophysical Journal Supplement Series,2015,18
The Astrophysical Journal Supplement Series,2016,20
The Astrophysical Journal Supplement Series,2017,16
The Astrophysical Journal Supplement Series,2018,19
