Software_Package,Parent4_Tag,Index
AstroBlend,p,1
AstroBlend,sec,1
Astropy,app-group,5
Astropy,article,619
Astropy,article-meta,3
Astropy,back,118
Astropy,body,31
Astropy,element-citation,7
Astropy,fig,1
Astropy,front,1
Astropy,list,1
Astropy,nlm-citation,2
Astropy,p,60
Astropy,ref,388
Astropy,ref-list,940
Astropy,sec,55
Astropy,table,1
Astropy,tbody,1
RADMC-3D,app,6
RADMC-3D,app-group,4
RADMC-3D,article,188
RADMC-3D,article-meta,1
RADMC-3D,back,29
RADMC-3D,body,90
RADMC-3D,fig,5
RADMC-3D,front,3
RADMC-3D,list,1
RADMC-3D,p,57
RADMC-3D,ref,8
RADMC-3D,ref-list,261
RADMC-3D,sec,113
RADMC-3D,table,4
RADMC-3D,table-wrap,3
RADMC-3D,table-wrap-foot,1
SAOImage DS9,ack,1
SAOImage DS9,app,1
SAOImage DS9,app-group,10
SAOImage DS9,article,217
SAOImage DS9,back,53
SAOImage DS9,body,48
SAOImage DS9,fig,3
SAOImage DS9,fn-group,10
SAOImage DS9,list,2
SAOImage DS9,list-item,1
SAOImage DS9,p,38
SAOImage DS9,ref-list,58
SAOImage DS9,sec,57
SAOImage DS9,table-wrap,3
Spec2d,ack,3
Spec2d,app-group,4
Spec2d,article,162
Spec2d,article-meta,1
Spec2d,back,6
Spec2d,body,26
Spec2d,fig,4
Spec2d,fig-group,3
Spec2d,fn-group,12
Spec2d,front,1
Spec2d,list,17
Spec2d,oasis:tbody,2
Spec2d,p,57
Spec2d,ref,5
Spec2d,ref-list,305
Spec2d,sec,194
Spec2d,table-wrap,1
Spec2d,table-wrap-foot,2
Stingray,article,2
Stingray,body,1
Stingray,ref-list,1
Stingray,sec,5
TARDIS,article,1
TARDIS,body,7
TARDIS,fig,1
TARDIS,ref-list,4
TARDIS,sec,4
WCSTools,ack,1
WCSTools,app-group,1
WCSTools,article,76
WCSTools,back,12
WCSTools,body,27
WCSTools,fn-group,12
WCSTools,list,1
WCSTools,p,23
WCSTools,ref,1
WCSTools,ref-list,38
WCSTools,sec,41
