,Software_Package,Alias,Identifier,ack_count
0,AstroPy,10.1051/0004-6361/201322068,1,95
1,AstroPy,2013A&A...558A..33A,1,96
2,AstroPy,AstroPy,0,27
3,AstroPy,astropy.org,0,66
4,AstroPy,doi.org/10.1051/0004-6361/201322068,1,2
5,AstroPy,github.com/astropy,0,5
6,RADMC-3D,10.1051/0004-6361:20031768,1,15
7,RADMC-3D,10.1051/0004-6361:20040017,1,10
8,RADMC-3D,2004A&A...417..159D,1,15
9,RADMC-3D,2004A&A...417..793P,1,10
10,RADMC-3D,2012ascl.soft02015D,1,1
11,RADMC-3D,RADMC-3D,0,76
12,RADMC-3D,RADMC3D,0,11
13,RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,0,7
14,RADMC-3D,radmc,0,21
15,RADMC-3D,radmc3d,0,5
16,SAOImage DS9, DS9 ,0,78
17,SAOImage DS9, ds9 ,0,38
18,SAOImage DS9,2003ASPC..295..489J,1,8
19,SAOImage DS9,SAOImage,0,21
20,SAOImage DS9,SAOImage DS9,0,178
21,SAOImage DS9,ds9.si.edu,0,10
22,SAOImage DS9,saoimage,0,2
23,Spec2d,10.1088/0067-0049/208/1/5,1,18
24,Spec2d,2013ApJS..208....5N,1,18
25,Spec2d,DEEP2 DEIMOS data pipeline,0,3
26,Spec2d,DEEP2 DEIMOS pipeline,0,7
27,Spec2d,DEIMOS pipeline,0,10
28,Spec2d,Spec2d,0,3
29,Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,0,32
30,Spec2d,ascl:1203.003,1,1
31,Spec2d,deep.ps.uci.edu/spec2d,0,1
32,Spec2d,spec2d,0,96
33,Spec2d,www2.keck.hawaii.edu/inst/deimos/pipeline.html,0,1
34,Stingray,stingray,0,1
35,TARDIS,TARDIS,0,1
36,TARDIS,Tardis,0,1
37,WCS Tools,1997ASPC..125..249M,1,2
38,WCS Tools,1999ASPC..172..498M,1,1
39,WCS Tools,2002ASPC..281..169M,1,1
40,WCS Tools,WCS Tools,0,1
41,WCS Tools,WCSLIB,0,2
42,WCS Tools,WCSTools,0,63
43,WCS Tools,imwcs,0,21
44,WCS Tools,sky2xy,0,1
45,WCS Tools,tdc-www.harvard.edu/software/wcstools,0,4
46,WCS Tools,wcstools,0,20
47,WCS Tools,xy2sky,0,8
